time,plane,x,y,z,u,v,w,omega_x,omega_y,omega_z,omega_mag
0,0,0,0,3.1415926535897931,2.22874203943573e-16,-2.0598943864454379e-16,3.8825492884269587e-18,2.0858573214340679e-17,3.4969281627701675e-17,-1.6418985544821584e-17,4.3903460232840242e-17
0,0,0,0.26179938779914941,3.1415926535897931,2.4528919592196199e-16,0.25881904510252063,9.7405750069194321e-18,-1.3078272538452074e-16,6.5404082444509248e-17,1.6593227560313983e-16,2.2116811557330653e-16
0,0,0,0.52359877559829882,3.1415926535897931,2.1793610100609464e-16,0.49999999999999994,-4.7975501146273293e-18,-2.6239500509606536e-16,2.6056002951290539e-17,7.096141251241072e-16,7.5702196835020171e-16
0,0,0,0.78539816339744828,3.1415926535897931,1.0009657884708547e-16,0.70710678118654724,-5.5127949261888032e-19,-1.7254778589704089e-16,2.6921153425217445e-17,7.272731074991017e-16,7.4794629473720571e-16
0,0,0,1.0471975511965976,3.1415926535897931,1.0230575226936927e-16,0.86602540378443893,1.5325287911987528e-17,-3.3844919054946455e-16,1.923521951642139e-17,1.4302157571195684e-16,3.6793072632299095e-16
0,0,0,1.3089969389957472,3.1415926535897931,4.5098431985925868e-17,0.96592582628906853,1.2871601686540539e-17,-7.0479640480888601e-16,8.6815497140923731e-18,6.7913960181548084e-17,7.08114148654375e-16
0,0,0,1.5707963267948966,3.1415926535897931,3.2260467726253056e-17,1,-2.6436399118931763e-18,-9.2608115181003666e-16,2.4101659096826244e-17,1.1971939607281268e-16,9.3409845493131133e-16
0,0,0,1.8325957145940459,3.1415926535897931,-1.6841877761624718e-17,0.96592582628906853,-2.8206882958506469e-17,-7.9387066497404184e-16,1.8311886590932403e-17,4.1293359227321775e-17,7.9515476444093777e-16
0,0,0,2.0943951023931953,3.1415926535897931,-8.8381206407041941e-17,0.86602540378443893,-3.2362933815673255e-17,-3.2636738209353744e-16,1.3863829349803046e-17,-1.0860408554907819e-16,3.4424224211560819e-16
0,0,0,2.3561944901923448,3.1415926535897931,-1.3601595542171735e-16,0.70710678118654768,-3.0488014007247597e-18,-1.2802941548394697e-16,2.1138287849924224e-17,1.9123539885087201e-16,2.3110460016200344e-16
0,0,0,2.6179938779914944,3.1415926535897931,-1.8585817992090872e-16,0.5,3.5332742142803814e-18,-2.4973157408192943e-16,-1.4454308944961284e-17,3.1760936305750256e-16,4.0429011074018009e-16
0,0,0,2.8797932657906435,3.1415926535897931,-2.4734506716883498e-16,0.25881904510252096,-9.2036755071668416e-18,-1.2457074495360256e-16,-5.7081787753379072e-17,-4.5398466713610794e-17,1.4435103661340345e-16
0,0,0,3.1415926535897931,3.1415926535897931,-2.2293376547022004e-16,1.2607417382241113e-16,-5.3164788035198022e-18,-1.3942537164517108e-17,-5.8412227003662686e-17,-8.9088956088892798e-17,1.0743940014315061e-16
0,0,0,3.4033920413889427,3.1415926535897931,-2.4119518713310383e-16,-0.25881904510252063,-1.2711271352138974e-17,1.0946091356872995e-17,-4.0680594144450193e-17,-1.5729734567972367e-16,1.6284097338761204e-16
0,0,0,3.6651914291880918,3.1415926535897931,-2.1949134928459498e-16,-0.49999999999999978,-1.5297868669251217e-17,3.1551178830241407e-16,-2.632749838251713e-17,-7.5301408940293616e-16,8.168666014522824e-16
0,0,0,3.926990816987241,3.1415926535897931,-8.4913843929002283e-17,-0.70710678118654724,5.6463023682494437e-18,2.8355999575288477e-16,-4.2702706558396175e-17,-7.2535893259247186e-16,7.7998421357773559e-16
0,0,0,4.1887902047863905,3.1415926535897931,-9.0029088852997794e-17,-0.86602540378443871,-8.9297205193101959e-18,4.9176685165203643e-17,-5.2027205281992292e-17,1.7726774144258139e-16,1.9117800242037787e-16
0,0,0,4.4505895925855405,3.1415926535897931,-5.3815271002867831e-17,-0.96592582628906842,-2.4109494992776959e-17,6.1552795858504262e-16,-1.2384371032869033e-18,1.130898312747113e-16,6.2583185558428661e-16
0,0,0,4.7123889803846897,3.1415926535897931,-3.1421881020902801e-17,-1,2.1973291786176981e-17,9.7334637168153195e-16,7.8855801222509158e-18,-1.8073365487770291e-16,9.9001514919970786e-16
0,0,0,4.9741883681838388,3.1415926535897931,1.6954601002799876e-17,-0.96592582628906853,3.7713856897429808e-17,3.0257515568870447e-16,-3.5233580026444292e-17,-2.4451457789614915e-17,3.0559941719440651e-16
0,0,0,5.2359877559829888,3.1415926535897931,7.8180680521260374e-17,-0.86602540378443882,-3.0688121531857431e-18,1.2488147426124941e-16,1.5990037137274722e-17,-4.9285173143437912e-17,1.352038911906502e-16
0,0,0,5.497787143782138,3.1415926535897931,1.5298567670690822e-16,-0.70710678118654768,-3.5183605587599174e-18,5.8314447350272083e-16,5.6688268576513358e-17,-4.0389792644877618e-16,7.1162108720904938e-16
0,0,0,5.7595865315812871,3.1415926535897931,2.1072661265208232e-16,-0.50000000000000022,1.4183828389530189e-17,3.8193323813191568e-16,-4.401615415097541e-17,-1.7027799912383782e-16,4.2048188688906774e-16
0,0,0,6.0213859193804362,3.1415926535897931,2.45871065114436e-16,-0.25881904510252107,1.8586579064949099e-18,7.5853565769183295e-18,-7.3343906977772637e-17,1.4947545426575612e-16,1.6667266648469183e-16
0,0,0.26179938779914941,0,3.1415926535897931,-0.25881904510252057,-2.1047289353579643e-16,-5.5661130278857228e-18,3.1335568607269977e-17,-1.2380347370632289e-16,-1.0704858167535171e-16,1.6663918146821759e-16
0,0,0.26179938779914941,0.26179938779914941,3.1415926535897931,-0.24999999999999986,0.24999999999999989,-1.3039391901307075e-18,-1.5048786746080872e-16,-1.1867430423582608e-16,-0.13397459621556143,0.13397459621556143
0,0,0.26179938779914941,0.52359877559829882,3.1415926535897931,-0.22414386804201328,0.48296291314453416,-8.6207744051125814e-18,-3.5636481985135519e-16,-1.2128409369191358e-16,-0.25881904510252079,0.25881904510252079
0,0,0.26179938779914941,0.78539816339744828,3.1415926535897931,-0.18301270189221927,0.68301270189221919,-1.3417739786037492e-17,-6.9383606556380655e-17,-8.6531131588437097e-17,-0.3660254037844391,0.3660254037844391
0,0,0.26179938779914941,1.0471975511965976,3.1415926535897931,-0.12940952255126026,0.83651630373780794,1.0165937486733352e-17,-6.3559465515188308e-17,-5.5542151439031059e-17,-0.44828773608402739,0.44828773608402739
0,0,0.26179938779914941,1.3089969389957472,3.1415926535897931,-0.066987298107780618,0.93301270189221963,2.0565155191237495e-17,-6.4227026967352521e-16,-2.5750101568436421e-17,-0.50000000000000022,0.50000000000000022
0,0,0.26179938779914941,1.5707963267948966,3.1415926535897931,4.8529018591394055e-18,0.96592582628906853,-5.6106678450695324e-18,-9.6157027937208024e-16,-1.4847614195135925e-17,-0.51763809020504192,0.51763809020504192
0,0,0.26179938779914941,1.8325957145940459,3.1415926535897931,0.066987298107780618,0.93301270189221952,-3.1204881078428709e-17,-7.1028618997992314e-16,-3.9922807264687461e-17,-0.50000000000000044,0.50000000000000044
0,0,0.26179938779914941,2.0943951023931953,3.1415926535897931,0.12940952255126023,0.83651630373780783,-2.4188337363856162e-17,-3.3274812321220189e-16,4.3997016562823477e-17,-0.44828773608402717,0.44828773608402717
0,0,0.26179938779914941,2.3561944901923448,3.1415926535897931,0.1830127018922191,0.6830127018922193,-3.2895355574948191e-18,-2.4645998788348877e-16,1.671645714791337e-16,-0.36602540378443904,0.36602540378443904
0,0,0.26179938779914941,2.6179938779914944,3.1415926535897931,0.22414386804201325,0.48296291314453427,-2.5766188243022304e-18,-3.179518780874781e-16,1.2079791087205737e-16,-0.25881904510252118,0.25881904510252118
0,0,0.26179938779914941,2.8797932657906435,3.1415926535897931,0.24999999999999978,0.25000000000000017,-5.3385967325276915e-18,-1.4710791459498253e-16,9.6247925829586924e-17,-0.1339745962155616,0.1339745962155616
0,0,0.26179938779914941,3.1415926535897931,3.1415926535897931,0.25881904510252057,1.4209809094116789e-16,8.0035217756517063e-18,3.2167517147357073e-17,1.7382487649833691e-16,2.2505946909423459e-16,2.8618455842002783e-16
0,0,0.26179938779914941,3.4033920413889427,3.1415926535897931,0.24999999999999983,-0.24999999999999983,8.4112538405381299e-18,2.4240353488463833e-17,7.2315127920173572e-17,0.13397459621556154,0.13397459621556154
0,0,0.26179938779914941,3.6651914291880918,3.1415926535897931,0.22414386804201325,-0.48296291314453405,2.3865087277123844e-18,1.9077368590866101e-16,-6.7522946340984737e-17,0.25881904510252018,0.25881904510252018
0,0,0.26179938779914941,3.926990816987241,3.1415926535897931,0.18301270189221933,-0.68301270189221919,1.055887650185525e-17,2.9691606582841392e-16,1.3771099546918801e-17,0.36602540378443843,0.36602540378443843
0,0,0.26179938779914941,4.1887902047863905,3.1415926535897931,0.12940952255126034,-0.83651630373780794,-4.1080070322364462e-18,2.3998765362039633e-16,6.7196491333216176e-17,0.44828773608402767,0.44828773608402767
0,0,0.26179938779914941,4.4505895925855405,3.1415926535897931,0.066987298107780591,-0.93301270189221963,-1.8133728775633898e-17,6.5557101772408613e-16,-1.94765869967989e-18,0.50000000000000022,0.50000000000000022
0,0,0.26179938779914941,4.7123889803846897,3.1415926535897931,1.1626322650908161e-17,-0.96592582628906842,2.4667795771414363e-17,9.2952352660600496e-16,-1.8371018270020915e-18,0.51763809020504137,0.51763809020504137
0,0,0.26179938779914941,4.9741883681838388,3.1415926535897931,-0.066987298107780549,-0.93301270189221952,4.4731538228243332e-17,2.8836582217989459e-16,-3.5907685146081048e-18,0.50000000000000044,0.50000000000000044
0,0,0.26179938779914941,5.2359877559829888,3.1415926535897931,-0.12940952255126029,-0.83651630373780794,-7.0834189784602935e-18,-5.0422840262542377e-17,-4.1561779128280502e-17,0.44828773608402694,0.44828773608402694
0,0,0.26179938779914941,5.497787143782138,3.1415926535897931,-0.18301270189221908,-0.68301270189221941,-2.3900529581661886e-17,3.6065149901327038e-16,-1.5165790821055898e-17,0.36602540378443843,0.36602540378443843
0,0,0.26179938779914941,5.7595865315812871,3.1415926535897931,-0.22414386804201311,-0.48296291314453449,1.1065560968182392e-17,3.1665687776864547e-16,-3.0699599347030009e-17,0.25881904510252118,0.25881904510252118
0,0,0.26179938779914941,6.0213859193804362,3.1415926535897931,-0.24999999999999975,-0.25000000000000022,1.0857514192812223e-17,-1.9214987275310971e-18,-1.0919862649234885e-16,0.1339745962155619,0.1339745962155619
0,0,0.52359877559829882,0,3.1415926535897931,-0.49999999999999983,-1.9785226992136157e-16,8.6121575658735582e-18,6.0497120562413049e-19,-2.7146720447597307e-16,3.7330617804156642e-16,4.6157590021594618e-16
0,0,0.52359877559829882,0.26179938779914941,3.1415926535897931,-0.4829629131445341,0.22414386804201322,3.4603273943915395e-18,-1.5400683703645309e-16,-3.5354969553197511e-16,-0.25881904510252074,0.25881904510252074
0,0,0.52359877559829882,0.52359877559829882,3.1415926535897931,-0.43301270189221919,0.43301270189221919,-4.8296591907533698e-18,-1.1167687335200327e-16,-9.1444038157501637e-17,-0.50000000000000011,0.50000000000000011
0,0,0.52359877559829882,0.78539816339744828,3.1415926535897931,-0.35355339059327368,0.61237243569579425,-3.0989171071374197e-18,-2.46850820126126e-16,-1.364998810556951e-16,-0.70710678118654757,0.70710678118654757
0,0,0.52359877559829882,1.0471975511965976,3.1415926535897931,-0.24999999999999989,0.74999999999999989,-7.1557038572292285e-18,-3.6651874763517823e-16,-2.4907458504811695e-16,-0.86602540378443849,0.86602540378443849
0,0,0.52359877559829882,1.3089969389957472,3.1415926535897931,-0.12940952255126034,0.83651630373780794,-7.0190492408544185e-18,-2.8809427950842663e-16,-1.0219189576105735e-16,-0.96592582628906776,0.96592582628906776
0,0,0.52359877559829882,1.5707963267948966,3.1415926535897931,2.132465976773422e-17,0.86602540378443871,-2.8217875497118528e-18,-3.4775878410694711e-16,-3.7481452808977099e-17,-0.99999999999999956,0.99999999999999956
0,0,0.52359877559829882,1.8325957145940459,3.1415926535897931,0.12940952255126026,0.83651630373780783,-7.9577416358327723e-18,-3.5148466451849823e-16,-1.9705487197443869e-17,-0.96592582628906742,0.96592582628906742
0,0,0.52359877559829882,2.0943951023931953,3.1415926535897931,0.24999999999999981,0.75,-6.8181465127796842e-18,-1.7265391786966719e-16,1.5144722598555867e-16,-0.86602540378443826,0.86602540378443826
0,0,0.52359877559829882,2.3561944901923448,3.1415926535897931,0.35355339059327351,0.61237243569579458,-2.1522721268214047e-18,-1.5929348959769626e-16,1.9214315869482014e-16,-0.70710678118654768,0.70710678118654768
0,0,0.52359877559829882,2.6179938779914944,3.1415926535897931,0.43301270189221924,0.4330127018922193,-7.342658898654539e-18,-1.382546249493757e-16,6.8448036447318435e-17,-0.49999999999999961,0.49999999999999961
0,0,0.52359877559829882,2.8797932657906435,3.1415926535897931,0.48296291314453393,0.22414386804201353,-7.0666499231380103e-18,-2.4769705888462567e-17,1.1268330164142108e-16,-0.25881904510252074,0.25881904510252074
0,0,0.52359877559829882,3.1415926535897931,3.1415926535897931,0.49999999999999983,1.6082534069012164e-16,-6.4291335029015758e-18,-5.5550681911657798e-17,2.9832890149113038e-16,-4.6568465902775325e-16,5.5583110148636837e-16
0,0,0.52359877559829882,3.4033920413889427,3.1415926535897931,0.4829629131445341,-0.22414386804201322,-6.8861530706079131e-18,7.3072386154233185e-17,3.3952258384634558e-16,0.25881904510252079,0.25881904510252079
0,0,0.52359877559829882,3.6651914291880918,3.1415926535897931,0.43301270189221924,-0.43301270189221913,1.4378597957263805e-17,2.6549569757958434e-16,2.1500046071209883e-16,0.49999999999999967,0.49999999999999967
0,0,0.52359877559829882,3.926990816987241,3.1415926535897931,0.35355339059327379,-0.61237243569579425,2.3392816345844558e-17,7.1549200505711555e-17,1.5074507719226808e-16,0.70710678118654668,0.70710678118654668
0,0,0.52359877559829882,4.1887902047863905,3.1415926535897931,0.25,-0.74999999999999989,-2.5449313474245151e-18,2.2409368940304256e-17,1.5207056943005137e-16,0.86602540378443882,0.86602540378443882
0,0,0.52359877559829882,4.4505895925855405,3.1415926535897931,0.12940952255126029,-0.83651630373780794,-3.6829747622598922e-18,3.1354467915058614e-16,4.5833548155229981e-17,0.96592582628906809,0.96592582628906809
0,0,0.52359877559829882,4.7123889803846897,3.1415926535897931,3.8800458377637322e-17,-0.86602540378443871,2.0317551265211133e-17,2.799573454522195e-16,-1.092159516514253e-18,0.99999999999999856,0.99999999999999856
0,0,0.52359877559829882,4.9741883681838388,3.1415926535897931,-0.12940952255126015,-0.83651630373780794,1.3687945771832382e-17,1.2640165509998338e-16,5.3504551285635849e-17,0.96592582628906776,0.96592582628906776
0,0,0.52359877559829882,5.2359877559829888,3.1415926535897931,-0.24999999999999989,-0.75,-2.0457841999599203e-18,1.9173627856713143e-16,-1.8149119068380179e-16,0.86602540378443882,0.86602540378443882
0,0,0.52359877559829882,5.497787143782138,3.1415926535897931,-0.35355339059327351,-0.61237243569579458,-3.0644013816561421e-18,1.0704187266523485e-16,-4.2911347861906699e-16,0.70710678118654702,0.70710678118654702
0,0,0.52359877559829882,5.7595865315812871,3.1415926535897931,-0.43301270189221908,-0.43301270189221952,-9.1718762979588304e-18,3.9930130567771584e-17,-1.4509663931405159e-16,0.49999999999999972,0.49999999999999972
0,0,0.52359877559829882,6.0213859193804362,3.1415926535897931,-0.48296291314453393,-0.22414386804201364,-5.4643048327855254e-18,1.4061016558771974e-16,5.4776141410738943e-17,0.25881904510252135,0.25881904510252135
